Question,Answer
What time does the course 70311 Organizational Behavior begin?,11:00AM
What time does the course 70311 Organizational Behavior end?,12:20PM
What days does the course 70311 Organizational Behavior meet?,"Monday, Wednesday, "
What is the location of the course 70311 Organizational Behavior?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70311 Organizational Behavior?,TEP 2700
How many units is the course 70311 Organizational Behavior?,9.0
Who are the instructors of the course 70311 Organizational Behavior?,Rulke
"What is the course number of Business, Society and Ethics?",70332
What is the name of course number 70332?,"Business, Society and Ethics"
"What time does the course 70332 Business, Society and Ethics begin?",03:30PM
"What time does the course 70332 Business, Society and Ethics end?",04:50PM
"What days does the course 70332 Business, Society and Ethics meet?","Tuesday, Thursday"
"What is the location of the course 70332 Business, Society and Ethics?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 70332 Business, Society and Ethics?",TEP 2611
"How many units is the course 70332 Business, Society and Ethics?",9.0
"Who are the instructors of the course 70332 Business, Society and Ethics?",Hornack
What is the course number of Business Communications?,70340
What is the name of course number 70340?,Business Communications
What time does the course 70340 Business Communications begin?,09:30AM
What time does the course 70340 Business Communications end?,10:50AM
What days does the course 70340 Business Communications meet?,"Monday, Wednesday, "
What is the location of the course 70340 Business Communications?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70340 Business Communications?,TEP 2613
How many units is the course 70340 Business Communications?,9.0
Who are the instructors of the course 70340 Business Communications?,Dejeu
What is the course number of Business Presentations?,70345
What is the name of course number 70345?,Business Presentations
What time does the course 70345 Business Presentations begin?,09:30AM
What time does the course 70345 Business Presentations end?,10:50AM
What days does the course 70345 Business Presentations meet?,"Monday, Wednesday, "
What is the location of the course 70345 Business Presentations?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70345 Business Presentations?,TEP 2702
How many units is the course 70345 Business Presentations?,9.0
Who are the instructors of the course 70345 Business Presentations?,Burke
What is the course number of Operations Management?,70371
What is the name of course number 70371?,Operations Management
What time does the course 70371 Operations Management begin?,12:30PM
What time does the course 70371 Operations Management end?,01:50PM
What days does the course 70371 Operations Management meet?,"Tuesday, Thursday"
What is the location of the course 70371 Operations Management?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70371 Operations Management?,TEP 2611
How many units is the course 70371 Operations Management?,9.0
Who are the instructors of the course 70371 Operations Management?,Akan
What is the course number of Consumer Behavior?,70385
What is the name of course number 70385?,Consumer Behavior
What time does the course 70385 Consumer Behavior begin?,09:30AM
What time does the course 70385 Consumer Behavior end?,10:50AM
What days does the course 70385 Consumer Behavior meet?,"Tuesday, Thursday"
What is the location of the course 70385 Consumer Behavior?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70385 Consumer Behavior?,TEP 2700
How many units is the course 70385 Consumer Behavior?,9.0
Who are the instructors of the course 70385 Consumer Behavior?,Olivola
What is the course number of Islamic Finance?,70388
What is the name of course number 70388?,Islamic Finance
What time does the course 70388 Islamic Finance begin?,08:30AM
What time does the course 70388 Islamic Finance end?,09:45AM
What days does the course 70388 Islamic Finance meet?,"Monday, Wednesday, "
What is the location of the course 70388 Islamic Finance?,"Doha, Qatar"
What is the building and room number of the course 70388 Islamic Finance?,CMB 3178
How many units is the course 70388 Islamic Finance?,9.0
Who are the instructors of the course 70388 Islamic Finance?,Farooqi
What is the course number of Finance?,70391
What is the name of course number 70391?,Finance
What time does the course 70391 Finance begin?,02:00PM
What time does the course 70391 Finance end?,03:20PM
What days does the course 70391 Finance meet?,"Tuesday, Thursday"
What is the location of the course 70391 Finance?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70391 Finance?,TEP 2700
How many units is the course 70391 Finance?,9.0
Who are the instructors of the course 70391 Finance?,Mayer
What is the course number of Management Game?,70401
What is the name of course number 70401?,Management Game
What time does the course 70401 Management Game begin?,12:30PM
What time does the course 70401 Management Game end?,01:50PM
What days does the course 70401 Management Game meet?,"Monday, Wednesday, "
What is the location of the course 70401 Management Game?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70401 Management Game?,TEP 2612
How many units is the course 70401 Management Game?,12.0
Who are the instructors of the course 70401 Management Game?,Brecker
What is the course number of Introduction to Entrepreneurship?,70415
What is the name of course number 70415?,Introduction to Entrepreneurship
What time does the course 70415 Introduction to Entrepreneurship begin?,09:30AM
What time does the course 70415 Introduction to Entrepreneurship end?,10:50AM
What days does the course 70415 Introduction to Entrepreneurship meet?,"Tuesday, Thursday"
What is the location of the course 70415 Introduction to Entrepreneurship?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70415 Introduction to Entrepreneurship?,TEP 2610
How many units is the course 70415 Introduction to Entrepreneurship?,9.0
Who are the instructors of the course 70415 Introduction to Entrepreneurship?,Motley
What is the course number of Digital Marketing and Social Media Strategy?,70443
What is the name of course number 70443?,Digital Marketing and Social Media Strategy
What time does the course 70443 Digital Marketing and Social Media Strategy begin?,02:00PM
What time does the course 70443 Digital Marketing and Social Media Strategy end?,03:20PM
What days does the course 70443 Digital Marketing and Social Media Strategy meet?,"Monday, Wednesday, "
What is the location of the course 70443 Digital Marketing and Social Media Strategy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70443 Digital Marketing and Social Media Strategy?,TEP 2611
How many units is the course 70443 Digital Marketing and Social Media Strategy?,9.0
Who are the instructors of the course 70443 Digital Marketing and Social Media Strategy?,Stuettgen
What is the course number of Data Management Fundamentals?,70455
What is the name of course number 70455?,Data Management Fundamentals
What time does the course 70455 Data Management Fundamentals begin?,11:00AM
What time does the course 70455 Data Management Fundamentals end?,12:20PM
What days does the course 70455 Data Management Fundamentals meet?,"Monday, Wednesday, "
What is the location of the course 70455 Data Management Fundamentals?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70455 Data Management Fundamentals?,TEP 2701
How many units is the course 70455 Data Management Fundamentals?,9.0
Who are the instructors of the course 70455 Data Management Fundamentals?,Monroe
What is the course number of End to End Business Analytics?,70469
What is the name of course number 70469?,End to End Business Analytics
What time does the course 70469 End to End Business Analytics begin?,10:00AM
What time does the course 70469 End to End Business Analytics end?,11:15AM
What days does the course 70469 End to End Business Analytics meet?,"Sunday, Tuesday, "
What is the location of the course 70469 End to End Business Analytics?,"Doha, Qatar"
What is the building and room number of the course 70469 End to End Business Analytics?,CMB 1190
How many units is the course 70469 End to End Business Analytics?,9.0
Who are the instructors of the course 70469 End to End Business Analytics?,Mathur
What is the course number of Marketing Research?,70481
What is the name of course number 70481?,Marketing Research
What time does the course 70481 Marketing Research begin?,12:30PM
What time does the course 70481 Marketing Research end?,01:50PM
